empno,storeno,somakiosk,cage,cincome,custno,loyallev,loyaltycard,cid,visits,brandtrust,comp,sexy,sophis,exc,fit,ability,csr,ValueForPrice,empsim,TotalACTV,cussat,somarket,CoreBrandACTV,ALLpreACTV,cgender,MCcussat,cussatquad,SOMAinteffect,HighlyRecommend,MCFit,fitquad,storeambience,frequentvisitor,empsimHL,visitsafterkiosk,ActedOnADeal,TotalYearlyACTV,Zcincome,Zcage,SOMAEmp,TotalTwoYearSpend,HighValueCustomer,MCSomaSexy,SomaSexyquad,SatFit,MCGender,SatGender,ServiceQuality,MCAge,MCLoyaltyCard,MCIncome,SOMAEmpsim,Zexc,Zsophis,Zcsr,ZValueForPrice,Zcid,Zempsim
9501985783.00,220.00,1.00,35.00,166488.00,350006534305333,1,1,5,20.0,3.00,5.00,1.67,2.00,1.00,1.75,1.67,1.67,4.00,5.00,66.26,2.00,0.00,66.26,83.35,1.00,-2.12,4.50,10.00,0.00,-2.27,10.55,1.00,1.00,1.00,10.00,10.00,74.81,0.14612,1.41268,11.00,950.89,0.00,-2.45,10.482,4.83,0.29,-0.61,5.00,-13.09,0.49,10956.00,11.00,-1.55294,-1.03709,-1.23053,-0.05512,0.37792,0.42225
9501985783.00,220.00,1.00,71.00,105701.00,574117150167437,1,1,5,23.0,5.00,3.00,5.67,6.33,3.67,4.00,3.00,5.00,6.00,6.33,77.25,3.00,0.00,34.95,75.34,0.00,-1.12,1.26,10.00,0.00,-0.02,1.00,3.67,1.00,1.00,11.50,11.50,76.29,-0.66457,0.98669,11.00,1108.47,0.00,1.55,0.581,0.02,-0.71,0.80,6.33,22.91,0.49,-49831.00,11.00,-0.21589,1.08635,0.38942,0.94272,0.37792,1.08956
9501985783.00,220.00,1.00,64.00,61121.00,650115883712825,0,0,7,26.0,5.00,6.00,7.00,4.00,7.00,6.75,4.00,7.00,4.33,7.00,94.30,7.00,0.00,71.59,146.90,0.00,2.88,8.29,10.00,1.00,2.73,3.07,7.00,1.00,1.00,13.00,13.00,120.60,-1.25912,0.61395,11.00,1353.14,0.00,2.89,4.392,7.85,-0.71,-2.05,7.00,15.91,-0.51,-94411.00,11.00,1.45542,-0.05704,1.36139,0.11119,1.33049,1.42321
9501985783.00,220.00,1.00,35.00,250726.00,712615287994411,1,1,7,10.0,4.67,7.00,7.00,5.00,4.00,4.00,1.00,6.33,7.00,7.00,98.01,5.00,0.00,50.06,100.31,1.00,0.88,0.77,10.00,0.00,-0.02,1.00,4.00,0.00,1.00,5.00,5.00,99.16,1.26956,1.25294,11.00,1406.38,0.00,2.89,4.392,-0.02,0.29,0.25,7.00,-13.09,0.49,95194.00,11.00,-0.04876,0.43298,1.03740,1.44164,1.33049,1.42321
9501985783.00,220.00,1.00,33.00,164253.00,776253530282928,1,1,5,8.0,1.00,1.00,2.67,4.00,4.33,1.25,1.00,1.00,4.00,1.00,48.24,3.00,0.00,48.24,109.28,1.00,-1.12,1.26,10.00,0.00,-2.77,14.05,4.33,0.00,0.00,4.00,4.00,78.76,0.11631,-1.03675,10.00,692.25,0.00,-1.45,5.007,3.12,0.29,-0.32,1.00,-15.09,0.49,8721.00,10.00,0.11837,-0.05704,-1.55452,-0.05512,0.37792,-1.57967
9501985783.00,220.00,1.00,55.00,213847.00,781340383325682,0,0,2,22.0,6.33,6.00,6.00,4.33,5.00,6.00,6.33,3.00,7.00,5.33,94.09,3.00,0.00,59.48,71.28,1.00,-1.12,1.26,10.00,0.00,1.98,1.00,5.00,1.00,1.00,11.00,11.00,82.68,0.77772,0.13471,11.00,1350.17,0.00,1.89,1.201,-2.24,0.29,-0.32,5.33,6.91,-0.51,58315.00,11.00,0.45263,0.10630,-0.58255,1.44164,-1.05093,0.58908
9501985783.00,220.00,1.00,36.00,101914.00,791043504623252,0,1,5,21.0,5.00,3.00,5.67,7.00,4.00,3.75,4.33,3.00,3.00,3.67,92.68,5.00,0.00,67.05,107.77,1.00,0.88,0.77,10.00,0.00,-0.27,1.56,4.00,1.00,0.00,10.50,10.50,100.23,-0.71508,1.67892,10.00,1329.95,0.00,1.55,0.581,-0.23,0.29,0.25,3.67,-12.09,0.49,-53618.00,10.00,-0.04876,1.41303,-0.58255,-0.55404,0.37792,-0.24506
9501985783.00,220.00,1.00,68.00,39450.00,921800641233560,0,1,7,14.0,6.00,4.33,3.67,5.67,4.00,4.00,7.00,6.33,3.67,2.67,69.31,3.00,0.00,30.69,73.41,1.00,-1.12,1.26,10.00,0.00,-0.02,1.00,4.00,1.00,0.00,7.00,7.00,71.36,-1.54813,0.82695,10.00,994.59,0.00,-0.45,1.531,0.02,0.29,-0.32,2.67,19.91,0.49,-116082.00,10.00,-0.04876,0.75967,1.03740,-0.22143,1.33049,-0.74554
9501985783.00,220.00,1.00,36.00,264756.00,991152664249109,0,0,7,13.0,7.00,4.00,6.33,6.33,6.33,7.00,7.00,5.00,6.00,5.33,156.90,7.00,0.00,131.16,99.42,1.00,2.88,8.29,10.00,1.00,2.98,4.01,6.33,0.00,1.00,6.50,6.50,128.16,1.45667,1.62568,11.00,2251.55,1.00,2.22,2.042,8.56,0.29,0.83,5.33,-12.09,-0.51,109224.00,11.00,1.12116,1.08635,0.38942,0.94272,1.33049,0.58908
1571161266.00,222.00,1.00,35.00,269813.00,126989533505221,0,0,5,20.0,7.00,7.00,5.00,4.67,3.33,4.00,5.33,3.67,7.00,1.67,78.73,4.00,1.00,49.11,79.72,1.00,-0.12,0.01,11.00,0.00,-0.02,1.00,3.33,1.00,0.00,10.00,10.00,79.22,1.52412,1.25294,10.00,1129.71,0.00,0.89,0.009,0.00,0.29,-0.04,1.67,-13.09,-0.51,114281.00,10.00,-0.38302,0.26964,-0.25856,1.44164,0.37792,-1.24602
